Start,End,GOVtGOVverbalconflictct, GOVtALLverbalconflictct, ALLtGOVverbalconflictct, ALLtALLverbalconflictct,GOVtGOVmatconflictct, GOVtALLmatconflictct, ALLtGOVmatconflictct, ALLtALLmatconflictct,GOVtGOVverbalcoopct, GOVtALLverbalcoopct, ALLtGOVverbalcoopct, ALLtALLverbalcoopct,GOVtGOVmatcoopct, GOVtALLmatcoopct, ALLtGOVmatcoopct, ALLtALLmatcoopct,GOVtGOVarrestct, GOVtALLarrestct, ALLtGOVarrestct, ALLtALLarrestct,GOVtGOVprotestct, GOVtALLprotestct, ALLtGOVprotestct, ALLtALLprotestct
12/31/2000,1/6/2001,0,0,3,1,0,3,0,1,2,4,2,4,0,0,0,0,0,2,0,0,0,0,0,0
1/7/2001,1/13/2001,1,3,3,2,0,6,0,2,5,3,2,10,0,2,0,1,0,3,0,0,0,0,0,2
1/14/2001,1/20/2001,1,3,3,2,1,1,0,2,6,4,3,3,0,0,0,0,0,1,0,0,0,0,0,1
1/21/2001,1/27/2001,0,1,4,1,0,14,3,12,6,6,5,3,0,1,0,0,0,5,0,2,0,0,3,0
1/28/2001,2/3/2001,5,2,4,1,0,10,4,20,6,6,4,4,0,1,0,0,0,3,0,2,0,0,4,1
2/4/2001,2/10/2001,1,0,5,3,2,6,5,10,6,15,12,2,0,0,1,0,2,1,1,2,0,0,1,0
2/11/2001,2/17/2001,1,10,6,5,0,7,3,5,0,12,4,4,0,0,0,0,0,1,0,2,0,0,2,0
2/18/2001,2/24/2001,0,6,15,4,0,6,0,9,2,5,2,4,0,1,0,0,0,5,0,3,0,0,0,0
2/25/2001,3/3/2001,2,1,0,0,1,21,8,15,3,7,7,3,1,1,0,0,1,4,0,1,0,0,8,0
3/4/2001,3/10/2001,2,0,2,1,2,5,3,5,0,5,2,3,0,0,0,0,1,4,0,1,0,0,2,0
3/11/2001,3/17/2001,0,1,6,1,0,8,0,23,7,10,9,3,0,0,0,0,0,6,0,0,0,0,0,0
3/18/2001,3/24/2001,0,7,3,2,4,70,5,19,5,7,10,6,0,6,0,0,4,42,0,13,0,0,3,0
3/25/2001,3/31/2001,2,5,5,0,0,15,0,5,2,6,7,3,0,3,2,0,0,7,0,1,0,0,0,1
4/1/2001,4/7/2001,1,1,4,2,1,2,2,1,4,5,0,3,0,2,0,0,1,2,0,0,0,0,0,0
4/8/2001,4/14/2001,0,0,1,4,0,9,6,3,4,5,2,1,0,0,0,0,0,5,0,2,0,0,5,0
4/15/2001,4/21/2001,2,2,4,0,0,9,5,0,6,15,9,0,0,0,0,0,0,3,0,0,0,0,2,0
4/22/2001,4/28/2001,1,5,5,3,1,33,1,9,0,3,4,6,0,1,0,0,0,8,1,6,0,0,0,0
4/29/2001,5/5/2001,1,2,5,0,0,33,17,4,1,8,6,0,0,0,0,0,0,15,0,2,0,0,17,1
5/6/2001,5/12/2001,1,4,1,2,0,0,1,1,5,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0
5/13/2001,5/19/2001,2,0,3,0,0,5,8,8,6,7,5,3,0,0,0,0,0,2,0,0,0,0,2,0
5/20/2001,5/26/2001,0,1,1,0,0,2,0,8,4,6,10,2,0,1,0,0,0,1,0,0,0,0,0,0
5/27/2001,6/2/2001,3,1,4,2,0,7,2,6,3,7,4,5,1,0,0,0,0,5,0,1,0,0,1,2
6/3/2001,6/9/2001,0,3,2,8,0,6,2,3,5,11,6,0,0,0,0,2,0,4,0,2,0,0,2,1
6/10/2001,6/16/2001,0,5,8,4,0,9,2,9,5,7,11,5,0,0,0,1,0,1,1,4,0,0,1,0
6/17/2001,6/23/2001,6,1,9,4,17,13,3,2,9,8,5,0,0,0,0,0,0,7,1,0,0,0,0,0
6/24/2001,6/30/2001,0,3,2,1,1,3,2,1,1,21,16,2,1,1,0,0,0,2,0,1,0,0,2,0
7/1/2001,7/7/2001,0,2,2,0,2,4,0,3,8,10,10,8,0,1,0,1,0,2,0,1,0,0,0,0
7/8/2001,7/14/2001,1,4,4,3,0,3,0,4,8,7,9,4,0,0,0,0,0,1,0,1,0,0,0,0
7/15/2001,7/21/2001,0,2,6,1,0,3,3,4,10,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/2001,7/28/2001,3,3,5,2,0,1,0,14,6,9,8,4,0,1,0,0,0,0,0,0,0,0,0,0
7/29/2001,8/4/2001,2,1,2,0,4,6,6,5,7,3,2,2,0,0,0,0,3,6,0,0,0,0,0,0
8/5/2001,8/11/2001,1,2,4,3,0,2,2,4,8,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0
8/12/2001,8/18/2001,0,6,7,2,1,15,0,2,5,5,0,6,0,0,0,0,0,4,0,1,0,0,0,0
8/19/2001,8/25/2001,3,2,8,4,0,17,7,14,1,6,7,8,0,0,0,0,0,7,3,5,0,0,0,0
8/26/2001,9/1/2001,0,1,4,2,0,6,0,2,3,6,4,2,0,0,0,0,0,3,0,1,0,0,0,0
9/2/2001,9/8/2001,0,1,0,1,0,5,0,1,1,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0
9/9/2001,9/15/2001,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/16/2001,9/22/2001,1,1,4,3,0,13,20,5,11,23,20,0,0,0,0,0,0,0,0,1,0,0,19,3
9/23/2001,9/29/2001,0,1,3,1,0,3,5,0,2,6,8,5,0,1,0,1,0,3,0,0,0,0,2,0
9/30/2001,10/6/2001,3,5,0,2,0,3,2,13,0,7,4,8,0,0,0,0,0,1,0,1,0,0,1,0
10/7/2001,10/13/2001,3,3,1,0,0,46,39,16,1,1,1,5,0,5,0,0,0,9,0,1,0,0,30,6
