Start,End, GOVtALLhighhostilityct, GOVtALLeventstotals, ALLtGOVeventstotals, Protests
12/31/2000, 1/6/2001, 0.0, -3.0, -2.0, 6
1/7/2001, 1/13/2001, 2.0, -14.6, -5.0, 2
1/14/2001, 1/20/2001, 0.0, -6.3, -5.7, 1
1/21/2001, 1/27/2001, 4.0, -67.8, 0.1, 8
1/28/2001, 2/3/2001, 5.0, -73.7, -39.5, 6
2/4/2001, 2/10/2001, 5.0, 6.8, -2.6, 5
2/11/2001, 2/17/2001, 3.0, -28.0, -33.0, 4
2/18/2001, 2/24/2001, 0.0, -9.6, -15.9, 9
2/25/2001, 3/3/2001, 14.0, -147.2, -33.2, 9
3/4/2001, 3/10/2001, 0.0, -22.2, -34.2, 3
3/11/2001, 3/17/2001, 2.0, 5.0, 26.0, 2
3/18/2001, 3/24/2001, 26.0, -436.2, -15.7, 3
3/25/2001, 3/31/2001, 0.0, -65.6, 13.0, 2
4/1/2001, 4/7/2001, 0.0, 13.8, -31.4, 4
4/8/2001, 4/14/2001, 4.0, -31.0, -18.9, 8
4/15/2001, 4/21/2001, 6.0, -30.9, -13.9, 10
4/22/2001, 4/28/2001, 14.0, -249.0, -10.0, 2
4/29/2001, 5/5/2001, 16.0, -219.5, -109.3, 21
5/6/2001, 5/12/2001, 0.0, 23.2, 18.2, 1
5/13/2001, 5/19/2001, 3.0, -11.5, -57.9, 5
5/20/2001, 5/26/2001, 1.0, 13.7, 44.4, 10
5/27/2001, 6/2/2001, 2.0, -17.2, -7.7, 8
6/3/2001, 6/9/2001, 2.0, -11.4, 7.4, 3
6/10/2001, 6/16/2001, 8.0, -71.4, 8.7, 1
6/17/2001, 6/23/2001, 4.0, -158.6, -127.6, 0
6/24/2001, 6/30/2001, 2.0, 20.8, 0.2, 3
7/1/2001, 7/7/2001, 1.0, 22.5, 34.5, 6
7/8/2001, 7/14/2001, 1.0, 3.5, 30.0, 0
7/15/2001, 7/21/2001, 3.0, 50.4, 6.5, 0
7/22/2001, 7/28/2001, 1.0, 3.7, 1.5, 0
